Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-my-ig.json	3414	-	0	0	0	0	0	0	12	95	0	0	0	0	0	0	0	1	0	0	71	74	0	1	0	6	0	1
fsh-generated/resources/ServiceRequest-ExampleReferralKO.json	561	19	0	0	0	0	0	0	0	1176	0	0	0	0	0	0	0	0	0	0	12	24	0	0	0	0	0	0
fsh-generated/resources/ServiceRequest-ExampleReferralOK1.json	562	13	0	0	0	0	0	0	0	417	0	0	0	0	0	0	0	0	0	0	11	13	0	0	0	0	0	0
fsh-generated/resources/ServiceRequest-ExampleReferralOK2.json	563	12	0	0	0	0	0	0	0	437	0	0	0	0	0	0	0	0	0	0	14	12	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-ConditionalReferral.json	3333	18	0	53	0	0	0	0	1	73	0	0	1	0	0	0	0	1	0	0	179	579	0	0	0	16	0	1
fsh-generated/resources/ValueSet-VS1.json	737	12	0	0	0	0	0	0	0	543	0	0	0	0	0	0	0	0	0	0	17	892	0	0	0	1	0	0
fsh-generated/resources/ValueSet-VSA.json	794	16	0	0	0	0	0	0	1	430	0	0	0	0	0	0	0	0	0	0	17	519	0	0	0	0	0	0
fsh-generated/resources/ValueSet-VSB.json	937	18	0	0	0	0	0	0	0	513	0	0	0	0	0	0	0	0	0	0	17	492	0	0	0	1	0	0
